String;PSČ;CC;Město;Okres;Kraj
58001-Havlíčkův Brod, Hazlov;58001;1;Havlíčkův Brod;Hazlov;
58002-Havlíčkův Brod, Hejnice;58002;1;Havlíčkův Brod;Hejnice;
58003-Havlíčkův Brod, Herálec;58003;1;Havlíčkův Brod;Herálec;
58221-Pohled, Podolí;58221;1;Pohled;Podolí;
58222-Přibyslav, Příbram;58222;1;Přibyslav;Příbram;
58223-Havlíčkova Borová, Havraň;58223;1;Havlíčkova Borová;Havraň;
58224-Oudoleň, Oudoleň;58224;1;Oudoleň;Oudoleň;
58231-Okrouhlice, Olbramovice;58231;1;Okrouhlice;Olbramovice;
58232-Lipnice nad Sázavou, Lipno nad Vltavou;58232;1;Lipnice nad Sázavou;Lipno nad Vltavou;
58233-Dolní Město, Dolní Přím;58233;1;Dolní Město;Dolní Přím;
58234-Krásná Hora, Krásná Lípa;58234;1;Krásná Hora;Krásná Lípa;
58235-Lučice, Lučina;58235;1;Lučice;Lučina;
58241-Skuhrov, Skuteč;58241;1;Skuhrov;Skuteč;
58242-Kámen, Kamenice;58242;1;Kámen;Kamenice;
58243-Tis, Tisá;58243;1;Tis;Tisá;
58244-Sázavka, Šebetov;58244;1;Sázavka;Šebetov;
58245-Uhelná Příbram, Uhelná Příbram;58245;1;Uhelná Příbram;Uhelná Příbram;
58251-Šlapanov, Slapy;58251;1;Šlapanov;Slapy;
58252-Věžnice, Věžnice;58252;1;Věžnice;Věžnice;
58253-Štoky, Štoky;58253;1;Štoky;Štoky;
58254-Úsobí, Úsobrno;58254;1;Úsobí;Úsobrno;
58255-Herálec, Heřmanov;58255;1;Herálec;Heřmanov;
58256-Věž, Věž;58256;1;Věž;Věž;
58257-Lípa, Lipník nad Bečvou;58257;1;Lípa;Lipník nad Bečvou;
58261-Česká Bělá, Česká Čermná;58261;1;Česká Bělá;Česká Čermná;
58262-Sobíňov, Sobíňov;58262;1;Sobíňov;Sobíňov;
58263-Ždírec nad Doubravou, Zdice;58263;1;Ždírec nad Doubravou;Zdice;
58264-Horní Studenec, Horoměřice;58264;1;Horní Studenec;Horoměřice;
58265-Slavíkov, Slavkov;58265;1;Slavíkov;Slavkov;
58266-Krucemburk, Krupá;58266;1;Krucemburk;Krupá;
58271-Dolní Krupá, Dolní Loučky;58271;1;Dolní Krupá;Dolní Loučky;
58272-Rozsochatec, Rozsochatec;58272;1;Rozsochatec;Rozsochatec;
58273-Nová Ves u Chotěboře, Nová Ves pod Pleší;58273;1;Nová Ves u Chotěboře;Nová Ves pod Pleší;
58274-Jeřišno, Jesenice;58274;1;Jeřišno;Jesenice;
58276-Maleč, Malečov;58276;1;Maleč;Malečov;
58277-Libice nad Doubravou, Libiš;58277;1;Libice nad Doubravou;Libiš;
58281-Habry, Hajnice;58281;1;Habry;Hajnice;
58282-Golčův Jeníkov, Habrovany;58282;1;Golčův Jeníkov;Habrovany;
58283-Vilémov, Vilémov;58283;1;Vilémov;Vilémov;
58286-Leština u Světlé, Lestkov;58286;1;Leština u Světlé;Lestkov;
58287-Číhošť, Čimelice;58287;1;Číhošť;Čimelice;
58291-Světlá nad Sázavou, Světlá nad Sázavou;58291;1;Světlá nad Sázavou;Světlá nad Sázavou;
58292-Kamenná Lhota, Kamenné Žehrovice;58292;1;Kamenná Lhota;Kamenné Žehrovice;
58293-Kožlí, Kozlovice;58293;1;Kožlí;Kozlovice;
58294-Hněvkovice, Hněvotín;58294;1;Hněvkovice;Hněvotín;
58301-Chotěboř, Chotěbuz;58301;1;Chotěboř;Chotěbuz;
58401-Ledeč nad Sázavou, Lednice;58401;1;Ledeč nad Sázavou;Lednice;
58601-Jihlava, Jihlava;58601;1;Jihlava;Jihlava;
58602-Jihlava, Jihlava;58602;1;Jihlava;Jihlava;
58603-Helenín, Jihlava;58603;1;Helenín;Jihlava;
58604-Jihlava, Jilemnice;58604;1;Jihlava;Jilemnice;
58605-Horní Kosov, Jílové;58605;1;Horní Kosov;Jílové;
58606-Jihlava, Jílové;58606;1;Jihlava;Jílové;
58801-Smrčná, Smržice;58801;1;Smrčná;Smržice;
58805-Dušejov, Dyjákovice;58805;1;Dušejov;Dyjákovice;
58811-Střítež, Střítež;58811;1;Střítež;Střítež;
58812-Dobronín, Dobšice;58812;1;Dobronín;Dobšice;
58813-Polná, Polkovice;58813;1;Polná;Polkovice;
58821-Velký Beranov, Velký Beranov;58821;1;Velký Beranov;Velký Beranov;
58822-Luka nad Jihlavou, Lukavec;58822;1;Luka nad Jihlavou;Lukavec;
58823-Kamenice, Kameničky;58823;1;Kamenice;Kameničky;
58824-Řehořov, Řečany nad Labem;58824;1;Řehořov;Řečany nad Labem;
58825-Jersín, Jesenice;58825;1;Jersín;Jesenice;
58826-Zhoř, Žeravice;58826;1;Zhoř;Žeravice;
58827-Jamné, Jankov;58827;1;Jamné;Jankov;
58831-Puklice, Psáry;58831;1;Puklice;Psáry;
58832-Brtnice, Brumovice;58832;1;Brtnice;Brumovice;
58833-Stonařov, Stonařov;58833;1;Stonařov;Stonařov;
58834-Dlouhá Brtnice, Dlouhá Loučka;58834;1;Dlouhá Brtnice;Dlouhá Loučka;
58835-Cerekvička, Vilémov;58835;1;Cerekvička;Vilémov;
58841-Vyskytná nad Jihlavou, Vyškov;58841;1;Vyskytná nad Jihlavou;Vyškov;
58842-Větrný Jeníkov, Větrný Jeníkov;58842;1;Větrný Jeníkov;Větrný Jeníkov;
58844-Rohozná, Rohozná;58844;1;Rohozná;Rohozná;
